Date,China,Germany,UK,Italy,Russian_Federation,Japan
1997,5324000,55800000,45957000,40196000,11182000,15298000
1998,8426000,69200000,50872000,42431000,10635000,16695000
1999,9232000,78100000,53881000,42390000,12631000,16803000
2000,10473000,80507000,56837000,44628000,18371000,15806000
2001,12133000,81551000,58281000,43611000,18030000,16358000
2002,16602000,80393000,59377000,44660000,20428000,17819000
2003,20222000,85345000,61424000,46357000,20572000,16216000
2004,28853000,84859000,64194000,40400000,24507000,16523000
2005,31026000,86622000,66494000,43407000,28416000,13296000
2006,34524000,81801000,69536000,46369000,29107000,16831000
2007,40954000,82099000,69450000,49166000,34285000,17404000
2008,45844000,86201000,69011000,54421000,36538000,17535000
2009,47656000,85547000,63513000,54839000,34276000,17295000
2010,57386000,85872000,64647000,55304000,39323000,15987000
2011,70250000,84692000,67493000,52617000,43726000,15446000
2012,83182000,82729000,66858000,53338000,47813000,16637000
2013,98185000,87459000,68959000,52633000,54069000,16994000
2014,116593000,83008000,72204000,55169000,45889000,18491000
2015,127860000,83737000,77619000,57418000,34550000,17473000
2016,135130000,90966000,81757000,57480000,31659000,16903000
2017,143035000,92402000,87242000,60042000,39629000,16214000
2018,149720000,108542000,90571000,61194601.56,41964000,17116000
2019,154632000,,93086000,62207000,45330000,17889000
2020,,,,,,18954000
,,,,,,20080000
